icd_code,icd_code_norm,icd_version,mimic_long_title,official_source,official_code_description,official_default_category,official_default_category_description,all_ccsr_categories,all_ccsr_descriptions,clinical_priority_category,mapping_status,mapping_reason,primary_psychiatric_comorbidity_flag,dementia_flag,substance_flag
T40412A,T40412A,10,"Poisoning by fentanyl or fentanyl analogs, intentional self-harm, initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Poisoning by fentanyl or fentanyl analogs, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,EXT014; EXT021; INJ022; MBD012; MBD018,"External cause codes: poisoning by drug; External cause codes: intent of injury, self-harm; Poisoning by drugs, initial encounter; Suicidal ideation/attempt/intentional self-harm; Opioid-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T40414A,T40414A,10,"Poisoning by fentanyl or fentanyl analogs, undetermined, initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Poisoning by fentanyl or fentanyl analogs, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",EXT014; EXT023; INJ022; MBD018,"External cause codes: poisoning by drug; External cause codes: intent of injury, undetermined; Poisoning by drugs, initial encounter; Opioid-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T40415A,T40415A,10,"Adverse effect of fentanyl or fentanyl analogs, initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Adverse effect of fentanyl or fentanyl analogs, initial encounter",XXX000,Unacceptable PDX,INJ028; MBD018,"Adverse effects of drugs and medicaments, initial encounter; Opioid-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T40425A,T40425A,10,"Adverse effect of tramadol, initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Adverse effect of tramadol, initial encounter",XXX000,Unacceptable PDX,INJ028; MBD018,"Adverse effects of drugs and medicaments, initial encounter; Opioid-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T40492A,T40492A,10,"Poisoning by other synthetic narcotics, intentional self-harm, initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Poisoning by other synthetic narcotics, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,EXT014; EXT021; INJ022; MBD012; MBD018,"External cause codes: poisoning by drug; External cause codes: intent of injury, self-harm; Poisoning by drugs, initial encounter; Suicidal ideation/attempt/intentional self-harm; Opioid-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T40495A,T40495A,10,"Adverse effect of other synthetic narcotics, initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Adverse effect of other synthetic narcotics, initial encounter",XXX000,Unacceptable PDX,INJ028; MBD018,"Adverse effects of drugs and medicaments, initial encounter; Opioid-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T404X1A,T404X1A,10,"Poisoning by other synthetic narcotics, accidental (unintentional), initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Poisoning by other synthetic narcotics, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",EXT014; EXT020; INJ022; MBD018,"External cause codes: poisoning by drug; External cause codes: intent of injury, accidental/unintentional; Poisoning by drugs, initial encounter; Opioid-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T404X2A,T404X2A,10,"Poisoning by other synthetic narcotics, intentional self-harm, initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Poisoning by other synthetic narcotics, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,EXT014; EXT021; INJ022; MBD012; MBD018,"External cause codes: poisoning by drug; External cause codes: intent of injury, self-harm; Poisoning by drugs, initial encounter; Suicidal ideation/attempt/intentional self-harm; Opioid-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T404X2D,T404X2D,10,"Poisoning by other synthetic narcotics, intentional self-harm, subsequent encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Poisoning by other synthetic narcotics, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,INJ059; MBD027; MBD028,"Poisoning by drugs, subsequent encounter; Suicide attempt/intentional self-harm; subsequent encounter; Opioid-related disorders; subsequent encounter",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T404X5A,T404X5A,10,"Adverse effect of other synthetic narcotics, initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Adverse effect of other synthetic narcotics, initial encounter",XXX000,Unacceptable PDX,INJ028; MBD018,"Adverse effects of drugs and medicaments, initial encounter; Opioid-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
