result_family,outcome,model,group_or_metric,metric,v1_point_estimate,v1_ci_lower,v1_ci_upper,v1_ci_width,v1_1_point_estimate,v1_1_ci_lower,v1_1_ci_upper,v1_1_ci_width,v1_2_point_estimate,v1_2_ci_lower,v1_2_ci_upper,v1_2_ci_width,v1_2_minus_v1_1_point,v1_2_vs_v1_1_ci_width_change_percent
standardized_cif,readmission_90d,Model 1,4_primary_psych_delirium,risk_difference_vs_group1,-0.0203249285883668,-0.0208109649630513,-0.0198225182754478,0.000988446687603499,-0.0203249285883669,-0.0430953088618825,0.0033972792035492,0.0464925880654317,0.03812438488853781,0.02021760648535643,0.05739862357434357,0.037181017088987134,0.05844931347690471,-20.028076224407766
standardized_cif,readmission_90d,Model 1,4_primary_psych_delirium,risk_ratio_vs_group1,0.9178605293678868,0.9157980683375098,0.919918012661436,0.004119944323926261,0.9178605293678868,0.8199885084314061,1.0133565329007568,0.19336802446935064,1.1542110948261386,1.0811473759489865,1.2357158688005614,0.15456849285157492,0.23635056545825184,-20.065122826926096
standardized_cif,readmission_90d,Model 2,1_no_primary_psych_no_delirium,standardized_cif,0.2407448844960461,0.2393130027212426,0.2421139376452322,0.002800934923989612,0.2407448844960461,0.1837366611192269,0.2965995511245498,0.11286289000532287,0.2517341502309366,0.2438561691305211,0.25988225451334296,0.016026085382821853,0.01098926573489048,-85.80039428188839
standardized_cif,readmission_90d,Model 2,1_no_primary_psych_no_delirium,risk_difference_vs_group1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
standardized_cif,readmission_90d,Model 2,1_no_primary_psych_no_delirium,risk_ratio_vs_group1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,
standardized_cif,readmission_90d,Model 2,2_primary_psych_no_delirium,standardized_cif,0.2526945222823953,0.2511744279447369,0.2541709473154523,0.0029965193707154336,0.2526945222823953,0.1924888378314384,0.3132154834307817,0.12072664559934332,0.27468592157434135,0.2629178589882624,0.28602966048310113,0.023111801494838713,0.021991399291946045,-80.85608907619279
standardized_cif,readmission_90d,Model 2,2_primary_psych_no_delirium,risk_difference_vs_group1,0.0119496377863491,0.0118311998955642,0.0120666892381005,0.00023548934253629986,0.0119496377863491,-0.0078311264963242,0.0311447827876455,0.0389759092839697,0.02295177134340476,0.009599992393086468,0.035666388891246834,0.026066396498160366,0.01100213355705566,-33.121774508847324
standardized_cif,readmission_90d,Model 2,2_primary_psych_no_delirium,risk_ratio_vs_group1,1.0496361025961711,1.0492830284539263,1.0499880364800764,0.0007050080261501446,1.0496361025961716,0.9681453357220668,1.130148563126983,0.16200322740491613,1.0911746432589666,1.0376886304331683,1.1446878784712682,0.1069992480380999,0.041538540662795054,-33.95239727498607
standardized_cif,readmission_90d,Model 2,3_no_primary_psych_delirium,standardized_cif,0.2042587085961021,0.202795724917687,0.2056745460689618,0.002878821151274802,0.2042587085961021,0.1513028772204492,0.2625638115051373,0.11126093428468811,0.26900727179325257,0.25572929239032405,0.28141223397433446,0.02568294158401041,0.06474856319715047,-76.91647859230234
standardized_cif,readmission_90d,Model 2,3_no_primary_psych_delirium,risk_difference_vs_group1,-0.0364861758999439,-0.0368971729451286,-0.0360718560807896,0.0008253168643390027,-0.036486175899944,-0.0549870804464248,-0.0182720977170241,0.0367149827294007,0.017273121562315974,0.0016402589294353732,0.03189356807496334,0.030253309145527964,0.05375929746225997,-17.599555014085144
standardized_cif,readmission_90d,Model 2,3_no_primary_psych_delirium,risk_ratio_vs_group1,0.8484446472193131,0.8465766898617895,0.850294012990316,0.003717323128526573,0.848444647219313,0.7629263035879804,0.926662965240979,0.1637366616529986,1.0686165208275076,1.0064980343257908,1.1280493477278075,0.12155131340201675,0.22017187360819457,-25.764143366000578
standardized_cif,readmission_90d,Model 2,4_primary_psych_delirium,standardized_cif,0.2047881182033059,0.2032856725912205,0.2062238396173275,0.002938167026106997,0.2047881182033059,0.1498986073283534,0.267280382438044,0.11738177510969058,0.2748915571338806,0.2580781929407373,0.2919537264688718,0.033875533528134494,0.07010343893057469,-71.14072137989174
standardized_cif,readmission_90d,Model 2,4_primary_psych_delirium,risk_difference_vs_group1,-0.0359567662927402,-0.0364011579173177,-0.0355041177244758,0.000897040192841897,-0.0359567662927402,-0.0587324957014827,-0.0124345610303427,0.046297934671140004,0.02315740690294399,0.004858588596778003,0.04271893669463058,0.037860348097852575,0.05911417319568419,-18.22454205186615
standardized_cif,readmission_90d,Model 2,4_primary_psych_delirium,risk_ratio_vs_group1,0.8506436954288399,0.8485898551484624,0.8526459211364006,0.004056065987938173,0.8506436954288399,0.7551119396921399,0.9507449451806091,0.1956330054884693,1.0919915191550285,1.0191838689495414,1.1733921031186318,0.15420823416909046,0.24134782372618857,-21.174735426645796
standardized_cif,icu_readmission_365d,Model 1,1_no_primary_psych_no_delirium,standardized_cif,0.1625110370881891,0.1616981241283142,0.1633472790027598,0.001649154874445613,0.1625110370881891,0.1288337973843525,0.2110264671281818,0.0821926697438293,0.12935952678901,0.12309756385790288,0.13550545651665383,0.012407892658750946,-0.03315151029917909,-84.90389386617719
standardized_cif,icu_readmission_365d,Model 1,1_no_primary_psych_no_delirium,risk_difference_vs_group1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
standardized_cif,icu_readmission_365d,Model 1,1_no_primary_psych_no_delirium,risk_ratio_vs_group1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,
standardized_cif,icu_readmission_365d,Model 1,2_primary_psych_no_delirium,standardized_cif,0.1502483928784763,0.1494680852969696,0.1510420460692952,0.0015739607723256055,0.1502483928784763,0.1172392016046717,0.194727139785996,0.07748793818132431,0.12728271446060976,0.11841620456666589,0.13565082349984206,0.01723461893317617,-0.022965678417866536,-77.75832040743349
