model,metric,estimate,ci95_lower,ci95_upper,bootstrap_successful_iterations,source_file,term,HR,CI95_lower,CI95_upper,wald_p_value,interaction_lrt_chisq,interaction_lrt_df,interaction_lrt_p_value,analysis_n,event_n,penalizer,time_window,outcome,formal_interpretability,synergy_index_same_rr_direction,synergy_index_denom,synergy_index_bootstrap_denom_sign_flip_fraction
Model 2,synergy_index,0.575698410365453,0.14477317258413,1.3208209563638975,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_readmission_90d_v1_2.csv,,,,,,,,,,,,,readmission_90d,interpretable,True,0.1597911640864742,0.0
Model 1,R00,0.12935952678901,0.1230975638579028,0.1355054565166538,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_icu_readmission_365d_v1_2.csv,,,,,,,,,,,,,icu_readmission_365d,reported,,,
Model 1,R10,0.1272827144606097,0.1184162045666658,0.135650823499842,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_icu_readmission_365d_v1_2.csv,,,,,,,,,,,,,icu_readmission_365d,reported,,,
Model 1,R01,0.1543082704564539,0.1442765186010356,0.1657093718851639,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_icu_readmission_365d_v1_2.csv,,,,,,,,,,,,,icu_readmission_365d,reported,,,
Model 1,R11,0.1329593423796503,0.1211183928138773,0.1463757800037192,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_icu_readmission_365d_v1_2.csv,,,,,,,,,,,,,icu_readmission_365d,reported,,,
Model 1,interaction_contrast,-0.0192721157484033,-0.0377966700277357,0.0005546218154863,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_icu_readmission_365d_v1_2.csv,,,,,,,,,,,,,icu_readmission_365d,reported,,,
Model 1,RR10,0.9839454241991192,0.901553804322791,1.062151097276098,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_icu_readmission_365d_v1_2.csv,,,,,,,,,,,,,icu_readmission_365d,reported,,,
Model 1,RR01,1.192863597190922,1.0919781179709602,1.3021491390508622,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_icu_readmission_365d_v1_2.csv,,,,,,,,,,,,,icu_readmission_365d,reported,,,
Model 1,RR11,1.0278279897893543,0.9149357852346304,1.1449471575791674,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_icu_readmission_365d_v1_2.csv,,,,,,,,,,,,,icu_readmission_365d,reported,,,
Model 1,RERI,-0.1489810316006865,-0.2961564601764622,0.004167132018859,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_icu_readmission_365d_v1_2.csv,,,,,,,,,,,,,icu_readmission_365d,reported,,,
Model 1,AP,-0.1449474358362424,-0.3021950421988537,0.0037257052482487,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_icu_readmission_365d_v1_2.csv,,,,,,,,,,,,,icu_readmission_365d,reported,,,
Model 1,synergy_index,0.1573901013114365,-0.7915631510154603,1.1103964239836654,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_icu_readmission_365d_v1_2.csv,,,,,,,,,,,,,icu_readmission_365d,not_interpretable,False,0.1768090213900411,0.013
Model 2,R00,0.1312851943844716,0.1248590315653255,0.1376785075926622,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_icu_readmission_365d_v1_2.csv,,,,,,,,,,,,,icu_readmission_365d,reported,,,
Model 2,R10,0.1296048101215775,0.120553341857503,0.1382648982840418,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_icu_readmission_365d_v1_2.csv,,,,,,,,,,,,,icu_readmission_365d,reported,,,
Model 2,R01,0.1490345880104158,0.1389732942921986,0.1601059336698076,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_icu_readmission_365d_v1_2.csv,,,,,,,,,,,,,icu_readmission_365d,reported,,,
Model 2,R11,0.1287669015547184,0.1172557448352934,0.1418513281382793,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_icu_readmission_365d_v1_2.csv,,,,,,,,,,,,,icu_readmission_365d,reported,,,
Model 2,interaction_contrast,-0.0185873021928034,-0.0373192843198069,0.0007106276337806,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_icu_readmission_365d_v1_2.csv,,,,,,,,,,,,,icu_readmission_365d,reported,,,
Model 2,RR10,0.9872005044378956,0.9030015097423228,1.0647996334084644,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_icu_readmission_365d_v1_2.csv,,,,,,,,,,,,,icu_readmission_365d,reported,,,
Model 2,RR01,1.135197222422239,1.0380294354417638,1.2457211171057414,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_icu_readmission_365d_v1_2.csv,,,,,,,,,,,,,icu_readmission_365d,reported,,,
Model 2,RR11,0.9808181505800396,0.8756663514013615,1.0926709413504252,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_icu_readmission_365d_v1_2.csv,,,,,,,,,,,,,icu_readmission_365d,reported,,,
Model 2,RERI,-0.1415795762800951,-0.2870205744575848,0.0052218440071791,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_icu_readmission_365d_v1_2.csv,,,,,,,,,,,,,icu_readmission_365d,reported,,,
