group,time_day,at_risk_n,figure,variable,strategy,abs_smd,outcome,analysis,population,exposure_definition,severity_adjustment,weight_strategy,contrast,estimate_type,estimate,CI_lower,CI_upper,interpretation_flag,label,metric,lower,upper
,,,S3,,,,365-day mortality,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,B_official_first_day_sofa,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.3828912295647149,1.283985217529968,1.4894160202918176,converged,severity alternative model | 3_no_primary_psych_delirium,,,
,,,S3,,,,365-day mortality,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,B_official_first_day_sofa,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.3738915575516124,1.25591962117216,1.502944917884079,converged,severity alternative model | 4_primary_psych_delirium,,,
,,,S3,,,,365-day mortality,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,C_official_oasis,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.1299966781637585,1.0426411083994769,1.2246711570976163,converged,severity alternative model | 2_primary_psych_no_delirium,,,
,,,S3,,,,365-day mortality,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,C_official_oasis,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.3582491080726466,1.2606070156444464,1.4634542063348916,converged,severity alternative model | 3_no_primary_psych_delirium,,,
,,,S3,,,,365-day mortality,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,C_official_oasis,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.3484531573690957,1.2321622989209151,1.47571948858613,converged,severity alternative model | 4_primary_psych_delirium,,,
,,,S3,,,,365-day mortality,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,D_organ_support,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.1184649169677243,1.0319946505766235,1.212180479606796,converged,severity alternative model | 2_primary_psych_no_delirium,,,
,,,S3,,,,365-day mortality,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,D_organ_support,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.4860300112620384,1.37791783018916,1.602624732759501,converged,severity alternative model | 3_no_primary_psych_delirium,,,
,,,S3,,,,365-day mortality,severity alternative model,prespecified analysis population,primary documented-by-index psychiatric comorbidity + 72h delirium,D_organ_support,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.4802004102354156,1.3516019184471069,1.6210344366619325,converged,severity alternative model | 4_primary_psych_delirium,,,
,,,S4,,,,90-day same-system readmission,IPSW Model 2 cause-specific Cox,conservative readmission cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,untrimmed,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.0977485114278402,1.027057278483662,1.1733053448792714,prespecified sensitivity; not a replacement for primary result,IPSW cause-specific Cox | 2_primary_psych_no_delirium,,,
,,,S4,,,,90-day same-system readmission,IPSW Model 2 cause-specific Cox,conservative readmission cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,untrimmed,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.1011154530532723,1.0248687033059427,1.1830347019493015,prespecified sensitivity; not a replacement for primary result,IPSW cause-specific Cox | 3_no_primary_psych_delirium,,,
,,,S4,,,,90-day same-system readmission,IPSW Model 2 cause-specific Cox,conservative readmission cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,untrimmed,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.1152091375738482,1.0218397179968055,1.2171100796182734,prespecified sensitivity; not a replacement for primary result,IPSW cause-specific Cox | 4_primary_psych_delirium,,,
,,,S4,,,,90-day same-system readmission,IPSW Model 2 cause-specific Cox,conservative readmission cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_1_99,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.1112980972718447,1.0391106046648446,1.1885004882597217,prespecified sensitivity; not a replacement for primary result,IPSW cause-specific Cox | 2_primary_psych_no_delirium,,,
,,,S4,,,,90-day same-system readmission,IPSW Model 2 cause-specific Cox,conservative readmission cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_1_99,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.0997959775347357,1.0227380325584647,1.1826598343818224,prespecified sensitivity; not a replacement for primary result,IPSW cause-specific Cox | 3_no_primary_psych_delirium,,,
,,,S4,,,,90-day same-system readmission,IPSW Model 2 cause-specific Cox,conservative readmission cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_1_99,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.125122521644919,1.0300975655129068,1.22891338752199,prespecified sensitivity; not a replacement for primary result,IPSW cause-specific Cox | 4_primary_psych_delirium,,,
,,,S4,,,,90-day same-system readmission,IPSW Model 2 cause-specific Cox,conservative readmission cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_5_95,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.1263126932737826,1.0507566900707304,1.207301647486298,prespecified sensitivity; not a replacement for primary result,IPSW cause-specific Cox | 2_primary_psych_no_delirium,,,
,,,S4,,,,90-day same-system readmission,IPSW Model 2 cause-specific Cox,conservative readmission cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_5_95,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.1157058217796525,1.0352103664901058,1.2024604090601585,prespecified sensitivity; not a replacement for primary result,IPSW cause-specific Cox | 3_no_primary_psych_delirium,,,
,,,S4,,,,90-day same-system readmission,IPSW Model 2 cause-specific Cox,conservative readmission cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,trim_5_95,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.142721278716409,1.0433137614136934,1.2516003997319902,prespecified sensitivity; not a replacement for primary result,IPSW cause-specific Cox | 4_primary_psych_delirium,,,
,,,S4,,,,90-day same-system readmission,strict-prior psychiatric exposure Model 2 cause-specific Cox,conservative readmission cohort,strict-prior psychiatric comorbidity + 72h delirium,Model 2 main severity,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.1591851343738906,1.0567825077599426,1.2715106144230863,prespecified sensitivity; not a replacement for primary result,strict-prior psychiatric exposure cause-specific Cox | 2_primary_psych_no_delirium,,,
,,,S4,,,,90-day same-system readmission,strict-prior psychiatric exposure Model 2 cause-specific Cox,conservative readmission cohort,strict-prior psychiatric comorbidity + 72h delirium,Model 2 main severity,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.1045517346156026,1.036779094056291,1.1767545675222648,prespecified sensitivity; not a replacement for primary result,strict-prior psychiatric exposure cause-specific Cox | 3_no_primary_psych_delirium,,,
,,,S4,,,,90-day same-system readmission,strict-prior psychiatric exposure Model 2 cause-specific Cox,conservative readmission cohort,strict-prior psychiatric comorbidity + 72h delirium,Model 2 main severity,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.17997910536382,1.0470154160364018,1.32982826018561,prespecified sensitivity; not a replacement for primary result,strict-prior psychiatric exposure cause-specific Cox | 4_primary_psych_delirium,,,
,,,S4,,,,90-day same-system readmission,48h delirium definition Model 2 cause-specific Cox,48h classifiable conservative readmission cohort,documented-by-index psychiatric comorbidity + 48h delirium,Model 2 main severity,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.1217225500796122,1.0491100644971187,1.1993607934361437,prespecified sensitivity; not a replacement for primary result,48h delirium definition cause-specific Cox | 2_primary_psych_no_delirium,,,
,,,S4,,,,90-day same-system readmission,48h delirium definition Model 2 cause-specific Cox,48h classifiable conservative readmission cohort,documented-by-index psychiatric comorbidity + 48h delirium,Model 2 main severity,none,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.1126734097271531,1.0333394499756858,1.1980981822991272,prespecified sensitivity; not a replacement for primary result,48h delirium definition cause-specific Cox | 3_no_primary_psych_delirium,,,
,,,S4,,,,90-day same-system readmission,48h delirium definition Model 2 cause-specific Cox,48h classifiable conservative readmission cohort,documented-by-index psychiatric comorbidity + 48h delirium,Model 2 main severity,none,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,HR,1.1289542260001555,1.032529250849244,1.2343840558079269,prespecified sensitivity; not a replacement for primary result,48h delirium definition cause-specific Cox | 4_primary_psych_delirium,,,
,,,S4,,,,90-day same-system readmission,full classifiable sensitivity; administrative follow-up completeness not guaranteed,full 72h classifiable cohort,primary documented-by-index psychiatric comorbidity + 72h delirium,Model 2 main severity,none,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,HR,1.1060424281176349,1.0404156965501123,1.1758087241981847,prespecified sensitivity; not a replacement for primary result,full classifiable sensitivity; administrative follow-up completeness not guaranteed | 2_primary_psych_no_delirium,,,
